final_dev_loss,final_train_loss,test_loss,BLEU_score,epochs,lr,batch_size,max_src_len,max_tgt_len,d_model,num_heads,d_ff,num_enc_layers,num_dec_layers,dropout
0.967,0.902,0.976,0.179,5,0.001,32,50,50,128,2,256,1,1,0.100
0.775,0.726,0.785,0.180,5,0.001,32,50,50,128,2,256,2,2,0.100
0.697,0.649,0.701,0.181,5,0.001,32,50,50,128,2,256,4,4,0.100
0.934,0.903,0.938,0.182,5,0.001,32,50,50,128,2,512,1,1,0.100
0.758,0.736,0.762,0.180,5,0.001,32,50,50,128,2,512,2,2,0.100
0.683,0.653,0.691,0.180,5,0.001,32,50,50,128,2,512,4,4,0.100
0.921,0.811,0.930,0.180,5,0.001,32,50,50,128,4,256,1,1,0.100
0.763,0.688,0.769,0.180,5,0.001,32,50,50,128,4,256,2,2,0.100
0.667,0.624,0.674,0.179,5,0.001,32,50,50,128,4,256,4,4,0.100
0.921,0.825,0.927,0.178,5,0.001,32,50,50,128,4,512,1,1,0.100
0.761,0.691,0.771,0.180,5,0.001,32,50,50,128,4,512,2,2,0.100
0.661,0.641,0.664,0.179,5,0.001,32,50,50,128,4,512,4,4,0.100
0.919,0.808,0.924,0.178,5,0.001,32,50,50,128,8,256,1,1,0.100
0.769,0.682,0.773,0.180,5,0.001,32,50,50,128,8,256,2,2,0.100
0.689,0.626,0.687,0.181,5,0.001,32,50,50,128,8,256,4,4,0.100
0.930,0.820,0.934,0.179,5,0.001,32,50,50,128,8,512,1,1,0.100
0.766,0.687,0.776,0.180,5,0.001,32,50,50,128,8,512,2,2,0.100
0.679,0.649,0.688,0.178,5,0.001,32,50,50,128,8,512,4,4,0.100
0.852,0.767,0.861,0.181,5,0.001,32,50,50,256,2,256,1,1,0.100
0.702,0.605,0.711,0.177,5,0.001,32,50,50,256,2,256,2,2,0.100
0.666,0.584,0.677,0.180,5,0.001,32,50,50,256,2,256,4,4,0.100
0.843,0.732,0.849,0.179,5,0.001,32,50,50,256,2,512,1,1,0.100
0.703,0.608,0.713,0.179,5,0.001,32,50,50,256,2,512,2,2,0.100
0.649,0.594,0.657,0.180,5,0.001,32,50,50,256,2,512,4,4,0.100
0.813,0.646,0.824,0.179,5,0.001,32,50,50,256,4,256,1,1,0.100
0.671,0.575,0.677,0.179,5,0.001,32,50,50,256,4,256,2,2,0.100
0.642,0.569,0.651,0.180,5,0.001,32,50,50,256,4,256,4,4,0.100
0.817,0.641,0.826,0.181,5,0.001,32,50,50,256,4,512,1,1,0.100
0.695,0.576,0.708,0.180,5,0.001,32,50,50,256,4,512,2,2,0.100
0.648,0.590,0.657,0.181,5,0.001,32,50,50,256,4,512,4,4,0.100
0.781,0.600,0.787,0.183,5,0.001,32,50,50,256,8,256,1,1,0.100
0.671,0.548,0.681,0.181,5,0.001,32,50,50,256,8,256,2,2,0.100
0.607,0.560,0.617,0.182,5,0.001,32,50,50,256,8,256,4,4,0.100
0.778,0.593,0.785,0.182,5,0.001,32,50,50,256,8,512,1,1,0.100
0.660,0.562,0.668,0.181,5,0.001,32,50,50,256,8,512,2,2,0.100
0.621,0.566,0.629,0.180,5,0.001,32,50,50,256,8,512,4,4,0.100
1.002,0.967,1.013,0.180,5,0.001,64,50,50,128,2,256,1,1,0.100
0.767,0.737,0.769,0.179,5,0.001,64,50,50,128,2,256,2,2,0.100
0.697,0.630,0.702,0.180,5,0.001,64,50,50,128,2,256,4,4,0.100
0.996,0.974,1.007,0.177,5,0.001,64,50,50,128,2,512,1,1,0.100
0.738,0.746,0.741,0.180,5,0.001,64,50,50,128,2,512,2,2,0.100
0.664,0.630,0.670,0.179,5,0.001,64,50,50,128,2,512,4,4,0.100
0.936,0.862,0.940,0.179,5,0.001,64,50,50,128,4,256,1,1,0.100
0.768,0.702,0.773,0.182,5,0.001,64,50,50,128,4,256,2,2,0.100
0.673,0.627,0.676,0.180,5,0.001,64,50,50,128,4,256,4,4,0.100
0.963,0.886,0.974,0.179,5,0.001,64,50,50,128,4,512,1,1,0.100
0.746,0.694,0.748,0.179,5,0.001,64,50,50,128,4,512,2,2,0.100
0.669,0.628,0.677,0.182,5,0.001,64,50,50,128,4,512,4,4,0.100
0.951,0.888,0.952,0.178,5,0.001,64,50,50,128,8,256,1,1,0.100
0.770,0.701,0.778,0.180,5,0.001,64,50,50,128,8,256,2,2,0.100
0.731,0.679,0.735,0.180,5,0.001,64,50,50,128,8,256,4,4,0.100
0.965,0.902,0.975,0.180,5,0.001,64,50,50,128,8,512,1,1,0.100
0.758,0.699,0.760,0.181,5,0.001,64,50,50,128,8,512,2,2,0.100
0.691,0.672,0.697,0.183,5,0.001,64,50,50,128,8,512,4,4,0.100
0.854,0.744,0.865,0.181,5,0.001,64,50,50,256,2,256,1,1,0.100
0.699,0.576,0.708,0.181,5,0.001,64,50,50,256,2,256,2,2,0.100
0.640,0.540,0.651,0.180,5,0.001,64,50,50,256,2,256,4,4,0.100
0.823,0.699,0.833,0.180,5,0.001,64,50,50,256,2,512,1,1,0.100
0.678,0.577,0.687,0.180,5,0.001,64,50,50,256,2,512,2,2,0.100
0.632,0.538,0.643,0.179,5,0.001,64,50,50,256,2,512,4,4,0.100
0.829,0.632,0.834,0.181,5,0.001,64,50,50,256,4,256,1,1,0.100
0.653,0.546,0.662,0.181,5,0.001,64,50,50,256,4,256,2,2,0.100
0.660,0.527,0.667,0.179,5,0.001,64,50,50,256,4,256,4,4,0.100
0.801,0.617,0.805,0.183,5,0.001,64,50,50,256,4,512,1,1,0.100
0.679,0.542,0.683,0.178,5,0.001,64,50,50,256,4,512,2,2,0.100
0.617,0.527,0.620,0.179,5,0.001,64,50,50,256,4,512,4,4,0.100
0.787,0.584,0.798,0.179,5,0.001,64,50,50,256,8,256,1,1,0.100
0.665,0.525,0.673,0.180,5,0.001,64,50,50,256,8,256,2,2,0.100
0.616,0.514,0.622,0.181,5,0.001,64,50,50,256,8,256,4,4,0.100
0.802,0.581,0.817,0.179,5,0.001,64,50,50,256,8,512,1,1,0.100
0.721,0.525,0.719,0.178,5,0.001,64,50,50,256,8,512,2,2,0.100
0.620,0.520,0.630,0.184,5,0.001,64,50,50,256,8,512,4,4,0.100
